earliest_execution,signal_available_after,signal_date,snapshot_frequency,trade_date
trade_date open,signal_date close,2021-01-08,weekly,2021-01-11
trade_date open,signal_date close,2021-01-15,weekly,2021-01-18
trade_date open,signal_date close,2021-01-22,weekly,2021-01-25
trade_date open,signal_date close,2021-01-29,weekly,2021-02-01
trade_date open,signal_date close,2021-02-05,weekly,2021-02-08
trade_date open,signal_date close,2021-02-10,weekly,2021-02-18
trade_date open,signal_date close,2021-02-19,weekly,2021-02-22
trade_date open,signal_date close,2021-02-26,weekly,2021-03-01
trade_date open,signal_date close,2021-03-05,weekly,2021-03-08
trade_date open,signal_date close,2021-03-12,weekly,2021-03-15
trade_date open,signal_date close,2021-03-19,weekly,2021-03-22
trade_date open,signal_date close,2021-03-26,weekly,2021-03-29
trade_date open,signal_date close,2021-04-02,weekly,2021-04-06
trade_date open,signal_date close,2021-04-09,weekly,2021-04-12
trade_date open,signal_date close,2021-04-16,weekly,2021-04-19
trade_date open,signal_date close,2021-04-23,weekly,2021-04-26
trade_date open,signal_date close,2021-04-30,weekly,2021-05-06
trade_date open,signal_date close,2021-05-07,weekly,2021-05-10
trade_date open,signal_date close,2021-05-14,weekly,2021-05-17
trade_date open,signal_date close,2021-05-21,weekly,2021-05-24
trade_date open,signal_date close,2021-05-28,weekly,2021-05-31
trade_date open,signal_date close,2021-06-04,weekly,2021-06-07
trade_date open,signal_date close,2021-06-11,weekly,2021-06-15
trade_date open,signal_date close,2021-06-18,weekly,2021-06-21
trade_date open,signal_date close,2021-06-25,weekly,2021-06-28
trade_date open,signal_date close,2021-07-02,weekly,2021-07-05
trade_date open,signal_date close,2021-07-09,weekly,2021-07-12
trade_date open,signal_date close,2021-07-16,weekly,2021-07-19
trade_date open,signal_date close,2021-07-23,weekly,2021-07-26
trade_date open,signal_date close,2021-07-30,weekly,2021-08-02
trade_date open,signal_date close,2021-08-06,weekly,2021-08-09
trade_date open,signal_date close,2021-08-13,weekly,2021-08-16
trade_date open,signal_date close,2021-08-20,weekly,2021-08-23
trade_date open,signal_date close,2021-08-27,weekly,2021-08-30
trade_date open,signal_date close,2021-09-03,weekly,2021-09-06
trade_date open,signal_date close,2021-09-10,weekly,2021-09-13
trade_date open,signal_date close,2021-09-17,weekly,2021-09-22
trade_date open,signal_date close,2021-09-24,weekly,2021-09-27
trade_date open,signal_date close,2021-09-30,weekly,2021-10-08
trade_date open,signal_date close,2021-10-08,weekly,2021-10-11
trade_date open,signal_date close,2021-10-15,weekly,2021-10-18
trade_date open,signal_date close,2021-10-22,weekly,2021-10-25
trade_date open,signal_date close,2021-10-29,weekly,2021-11-01
trade_date open,signal_date close,2021-11-05,weekly,2021-11-08
trade_date open,signal_date close,2021-11-12,weekly,2021-11-15
trade_date open,signal_date close,2021-11-19,weekly,2021-11-22
trade_date open,signal_date close,2021-11-26,weekly,2021-11-29
trade_date open,signal_date close,2021-12-03,weekly,2021-12-06
trade_date open,signal_date close,2021-12-10,weekly,2021-12-13
trade_date open,signal_date close,2021-12-17,weekly,2021-12-20
trade_date open,signal_date close,2021-12-24,weekly,2021-12-27
trade_date open,signal_date close,2021-12-31,weekly,2022-01-04
trade_date open,signal_date close,2022-01-07,weekly,2022-01-10
trade_date open,signal_date close,2022-01-14,weekly,2022-01-17
trade_date open,signal_date close,2022-01-21,weekly,2022-01-24
trade_date open,signal_date close,2022-01-28,weekly,2022-02-07
trade_date open,signal_date close,2022-02-11,weekly,2022-02-14
trade_date open,signal_date close,2022-02-18,weekly,2022-02-21
trade_date open,signal_date close,2022-02-25,weekly,2022-02-28
trade_date open,signal_date close,2022-03-04,weekly,2022-03-07
trade_date open,signal_date close,2022-03-11,weekly,2022-03-14
trade_date open,signal_date close,2022-03-18,weekly,2022-03-21
trade_date open,signal_date close,2022-03-25,weekly,2022-03-28
trade_date open,signal_date close,2022-04-01,weekly,2022-04-06
trade_date open,signal_date close,2022-04-08,weekly,2022-04-11
trade_date open,signal_date close,2022-04-15,weekly,2022-04-18
trade_date open,signal_date close,2022-04-22,weekly,2022-04-25
trade_date open,signal_date close,2022-04-29,weekly,2022-05-05
trade_date open,signal_date close,2022-05-06,weekly,2022-05-09
trade_date open,signal_date close,2022-05-13,weekly,2022-05-16
trade_date open,signal_date close,2022-05-20,weekly,2022-05-23
trade_date open,signal_date close,2022-05-27,weekly,2022-05-30
trade_date open,signal_date close,2022-06-02,weekly,2022-06-06
trade_date open,signal_date close,2022-06-10,weekly,2022-06-13
trade_date open,signal_date close,2022-06-17,weekly,2022-06-20
trade_date open,signal_date close,2022-06-24,weekly,2022-06-27
trade_date open,signal_date close,2022-07-01,weekly,2022-07-04
trade_date open,signal_date close,2022-07-08,weekly,2022-07-11
trade_date open,signal_date close,2022-07-15,weekly,2022-07-18
trade_date open,signal_date close,2022-07-22,weekly,2022-07-25
trade_date open,signal_date close,2022-07-29,weekly,2022-08-01
trade_date open,signal_date close,2022-08-05,weekly,2022-08-08
trade_date open,signal_date close,2022-08-12,weekly,2022-08-15
trade_date open,signal_date close,2022-08-19,weekly,2022-08-22
