code,display_name,name,list_date,delist_date,type,exchange,board
000006.XSHE,深振业A,SZYA,1992-04-27,2200-01-01,stock,XSHE,MainBoard_SZ
000011.XSHE,深物业A,SWYA,1992-03-30,2200-01-01,stock,XSHE,MainBoard_SZ
000012.XSHE,南玻A,NBA,1992-02-28,2200-01-01,stock,XSHE,MainBoard_SZ
000016.XSHE,*ST康佳A,*STKJA,1992-03-27,2200-01-01,stock,XSHE,MainBoard_SZ
000019.XSHE,深粮控股,SLKG,1992-10-12,2200-01-01,stock,XSHE,MainBoard_SZ
000025.XSHE,特力A,TLA,1993-06-21,2200-01-01,stock,XSHE,MainBoard_SZ
000028.XSHE,国药一致,GYYZ,1993-08-09,2200-01-01,stock,XSHE,MainBoard_SZ
000029.XSHE,深深房A,SSFA,1993-09-15,2200-01-01,stock,XSHE,MainBoard_SZ
000030.XSHE,富奥股份,FAGF,1993-09-29,2200-01-01,stock,XSHE,MainBoard_SZ
000032.XSHE,深桑达A,SSDA,1993-10-28,2200-01-01,stock,XSHE,MainBoard_SZ
000034.XSHE,神州数码,SZSM,1994-05-09,2200-01-01,stock,XSHE,MainBoard_SZ
000035.XSHE,中国天楹,ZGTY,1994-04-08,2200-01-01,stock,XSHE,MainBoard_SZ
000036.XSHE,华联控股,HLKG,1994-06-17,2200-01-01,stock,XSHE,MainBoard_SZ
000038.XSHE,大通退,DTT,1994-08-08,2023-07-11,stock,XSHE,MainBoard_SZ
000040.XSHE,*ST旭蓝,*STXL,1994-08-08,2025-04-29,stock,XSHE,MainBoard_SZ
000048.XSHE,京基智农,JJZN,1994-11-01,2200-01-01,stock,XSHE,MainBoard_SZ
000049.XSHE,德赛电池,DSDC,1995-03-20,2200-01-01,stock,XSHE,MainBoard_SZ
000058.XSHE,深赛格,SSG,1996-12-26,2200-01-01,stock,XSHE,MainBoard_SZ
000059.XSHE,华锦股份,HJGF,1997-01-30,2200-01-01,stock,XSHE,MainBoard_SZ
000061.XSHE,农产品,NCP,1997-01-10,2200-01-01,stock,XSHE,MainBoard_SZ
000062.XSHE,深圳华强,SZHQ,1997-01-30,2200-01-01,stock,XSHE,MainBoard_SZ
000065.XSHE,北方国际,BFGJ,1998-06-05,2200-01-01,stock,XSHE,MainBoard_SZ
000070.XSHE,特发信息,TFXX,2000-05-11,2200-01-01,stock,XSHE,MainBoard_SZ
000088.XSHE,盐田港,YTG,1997-07-28,2200-01-01,stock,XSHE,MainBoard_SZ
000089.XSHE,深圳机场,SZJC,1998-04-20,2200-01-01,stock,XSHE,MainBoard_SZ
000090.XSHE,天健集团,TJJT,1999-07-21,2200-01-01,stock,XSHE,MainBoard_SZ
000099.XSHE,中信海直,ZXHZ,2000-07-31,2200-01-01,stock,XSHE,MainBoard_SZ
000155.XSHE,川能动力,CNDL,2000-09-26,2200-01-01,stock,XSHE,MainBoard_SZ
000156.XSHE,华数传媒,HSCM,2000-09-06,2200-01-01,stock,XSHE,MainBoard_SZ
000403.XSHE,派林生物,PLSW,1996-06-28,2200-01-01,stock,XSHE,MainBoard_SZ
000415.XSHE,渤海租赁,BHZL,1996-07-16,2200-01-01,stock,XSHE,MainBoard_SZ
000420.XSHE,吉林化纤,JLHX,1996-08-02,2200-01-01,stock,XSHE,MainBoard_SZ
000422.XSHE,湖北宜化,HBYH,1996-08-15,2200-01-01,stock,XSHE,MainBoard_SZ
